,Landing,Date,Boat,Trip Type,Anglers,Fish Count
0,daveys-locker,2020-01-01,Freelance,3/4 Day,55,"141 Sculpin, 71 Blacksmith, 10 Sand Bass, 1 Calico Bass"
1,daveys-locker,2020-01-01,Western Pride,1/2 Day PM,38,"45 Sculpin, 40 Sand Bass, 39 Blacksmith, 12 Calico Bass, 1 Triggerfish"
2,daveys-locker,2020-01-02,Freelance,3/4 Day,75,185 Sculpin
3,daveys-locker,2020-01-02,Western Pride,1/2 Day PM,38,"65 Blacksmith, 46 Sand Bass, 33 Sculpin"
4,daveys-locker,2020-01-03,Freelance,3/4 Day,77,"200 Sanddab, 160 Sculpin, 35 Blacksmith"
5,daveys-locker,2020-01-03,Western Pride,1/2 Day PM,70,117 Sculpin
6,daveys-locker,2020-01-04,Freelance,3/4 Day,68,"240 Sculpin, 210 Sanddab"
7,daveys-locker,2020-01-04,Western Pride,1/2 Day AM,62,96 Sculpin
8,daveys-locker,2020-01-04,Western Pride,1/2 Day Twilight,65,"127 Sculpin, 6 Sand Bass, 2 Blue Perch"
9,daveys-locker,2020-01-05,Freelance,3/4 Day,74,"190 Sculpin, 185 Blacksmith, 70 Sanddab"
10,daveys-locker,2020-01-05,Western Pride,1/2 Day AM,55,"95 Sculpin, 40 Sanddab"
11,daveys-locker,2020-01-05,Western Pride,1/2 Day Twilight,63,"141 Sculpin, 6 Sand Bass"
12,daveys-locker,2020-01-06,Western Pride,1/2 Day PM,30,"33 Blue Perch, 20 Sand Bass, 10 Sculpin, 3 Blacksmith"
13,daveys-locker,2020-01-07,Western Pride,1/2 Day PM,35,"95 Blacksmith, 20 Sand Bass, 17 Sculpin"
14,daveys-locker,2020-01-08,Western Pride,1/2 Day PM,29,"32 Blacksmith, 14 Sand Bass, 4 Sculpin"
15,daveys-locker,2020-01-10,Western Pride,1/2 Day Twilight,24,"27 Sand Bass, 9 Sculpin, 6 Blue Perch, 5 Calico Bass"
16,daveys-locker,2020-01-11,Western Pride,1/2 Day AM,57,"152 Sanddab, 85 Sculpin"
17,daveys-locker,2020-01-11,Western Pride,1/2 Day Twilight,84,"161 Sculpin, 17 Sand Bass, 5 Blue Perch, 2 Calico Bass"
18,daveys-locker,2020-01-12,Western Pride,1/2 Day AM,21,"105 Sculpin, 75 Sanddab, 1 Sand Bass"
19,daveys-locker,2020-01-12,Western Pride,1/2 Day Twilight,64,"114 Sculpin, 15 Sand Bass, 4 Blue Perch, 2 Calico Bass"
20,daveys-locker,2020-01-13,Western Pride,1/2 Day PM,20,"35 Blacksmith, 29 Sand Bass"
21,daveys-locker,2020-01-14,Western Pride,1/2 Day PM,23,"72 Blacksmith, 26 Sand Bass, 17 Sculpin, 3 Blue Perch"
22,daveys-locker,2020-01-15,Western Pride,1/2 Day PM,14,"9 Sand Bass, 2 Sculpin, 1 Blue Perch"
23,daveys-locker,2020-01-17,Western Pride,1/2 Day PM,28,"50 Blacksmith, 12 Sand Bass, 4 Calico Bass, 1 Sculpin"
24,daveys-locker,2020-01-18,Western Pride,1/2 Day PM,41,"131 Sculpin, 25 Sanddab"
25,daveys-locker,2020-01-18,Western Pride,1/2 Day Twilight,40,"101 Sculpin, 16 Sand Bass, 3 Calico Bass"
26,daveys-locker,2020-01-19,Western Pride,1/2 Day AM,42,"147 Sculpin, 45 Sanddab"
27,daveys-locker,2020-01-19,Western Pride,1/2 Day Twilight,39,"118 Sculpin, 5 Sand Bass, 4 Calico Bass, 3 Blue Perch, 1 Opaleye"
28,daveys-locker,2020-02-23,Western Pride,1/2 Day Twilight,61,"81 Sculpin, 10 Sand Bass"
29,daveys-locker,2020-02-24,Western Pride,1/2 Day PM,21,"75 Blacksmith, 3 Sand Bass, 1 Sculpin, 1 Calico Bass"
30,daveys-locker,2020-02-26,Western Pride,1/2 Day PM,24,"40 Blacksmith, 9 Sand Bass, 1 Sculpin, 1 Calico Bass"
31,daveys-locker,2020-02-27,Western Pride,1/2 Day PM,37,"38 Sand Bass, 25 Blacksmith, 13 Calico Bass, 3 Sculpin, 1 Black Croaker"
32,daveys-locker,2020-02-28,Freelance,3/4 Day,26,"96 Sculpin, 71 Blacksmith, 26 Sand Bass, 6 Calico Bass"
33,daveys-locker,2020-02-28,Western Pride,1/2 Day PM,15,"25 Sand Bass, 10 Blacksmith, 7 Calico Bass, 4 Sculpin, 1 Blue Perch"
34,daveys-locker,2020-02-29,Freelance,1/2 Day Twilight,43,"97 Sculpin, 7 Mackerel, 3 Sand Bass, 3 Black Croaker"
35,daveys-locker,2020-02-29,Freelance,3/4 Day,65,"215 Blacksmith, 187 Sculpin, 6 Sand Bass"
36,daveys-locker,2020-03-01,Freelance,1/2 Day Twilight,70,"137 Sculpin, 15 Sand Bass, 1 Opaleye, 1 Calico Bass"
37,daveys-locker,2020-03-02,Freelance,3/4 Day,42,"156 Vermilion Rockfish, 111 Rockfish, 71 Bocaccio, 27 Sanddab, 18 Mackerel, 10 Copper Rockfish, 1 Whitefish, 1 Bonito"
38,daveys-locker,2020-03-02,Western Pride,1/2 Day PM,27,"70 Vermilion Rockfish, 30 Rockfish, 19 Bocaccio, 12 Blacksmith, 11 Whitefish, 4 Sheephead, 4 Sand Bass"
39,daveys-locker,2020-03-03,Freelance,3/4 Day,29,"203 Sanddab, 122 Sculpin, 107 Rockfish, 2 Sheephead"
40,daveys-locker,2020-03-03,Western Pride,1/2 Day PM,27,"77 Vermilion Rockfish, 29 Rockfish, 19 Bocaccio"
41,daveys-locker,2020-03-04,Freelance,3/4 Day,17,"105 Rockfish, 54 Vermilion Rockfish, 3 Whitefish, 2 Sculpin"
42,daveys-locker,2020-03-05,Freelance,3/4 Day,26,"125 Vermilion Rockfish, 107 Whitefish, 69 Rockfish, 66 Bocaccio, 5 Sheephead"
43,daveys-locker,2020-03-05,Freelance,3/4 Day,26,"125 Vermilion Rockfish, 107 Whitefish, 69 Rockfish, 66 Bocaccio, 5 Sheephead"
44,daveys-locker,2020-03-05,Western Pride,1/2 Day PM,15,"108 Vermilion Rockfish, 19 Sand Bass, 7 Bocaccio, 5 Whitefish, 4 Sculpin, 3 Sheephead"
45,daveys-locker,2020-03-06,Freelance,3/4 Day,41,"137 Vermilion Rockfish, 126 Rockfish, 61 Whitefish, 26 Bocaccio, 6 Sheephead"
46,daveys-locker,2020-03-06,Western Pride,1/2 Day PM,18,"79 Vermilion Rockfish, 35 Rockfish, 23 Bocaccio, 1 Lingcod"
47,daveys-locker,2020-03-07,Freelance,1/2 Day Twilight,36,"137 Sculpin, 12 Rockfish, 11 Sand Bass, 4 Sheephead, 3 Calico Bass, 1 Blue Perch"
48,daveys-locker,2020-03-07,Freelance,3/4 Day,77,"235 Whitefish, 105 Rockfish, 100 Vermilion Rockfish, 13 Sheephead"
49,daveys-locker,2020-03-07,Western Pride,1/2 Day AM,29,"95 Rockfish, 10 Sculpin, 6 Vermilion Rockfish, 3 Whitefish"
50,daveys-locker,2020-03-07,Western Pride,1/2 Day PM,45,"52 Bocaccio, 51 Rockfish, 39 Vermilion Rockfish, 2 Whitefish, 1 Lingcod"
51,daveys-locker,2020-03-08,Freelance,1/2 Day Twilight,29,"94 Sculpin, 7 Rockfish, 2 Sand Bass, 1 Whitefish, 1 Sheephead, 1 Blue Perch"
52,daveys-locker,2020-03-08,Freelance,1/2 Day Twilight,29,"94 Sculpin, 7 Rockfish, 2 Sand Bass, 1 Whitefish, 1 Sheephead, 1 Blue Perch"
53,daveys-locker,2020-03-08,Freelance,3/4 Day,76,"205 Whitefish, 187 Rockfish, 31 Vermilion Rockfish, 4 Sheephead, 2 Sculpin"
54,daveys-locker,2020-03-08,Western Pride,1/2 Day AM,40,"161 Rockfish, 38 Sculpin, 22 Bocaccio, 14 Whitefish, 1 Sheephead"
55,daveys-locker,2020-03-08,Western Pride,1/2 Day PM,45,"39 Rockfish, 15 Whitefish, 12 Vermilion Rockfish, 5 Sanddab, 2 Sheephead, 1 Bocaccio"
56,daveys-locker,2020-03-09,Freelance,3/4 Day,14,"71 Vermilion Rockfish, 48 Rockfish, 27 Whitefish, 21 Bocaccio, 8 Sanddab, 4 Sheephead, 1 Sculpin"
57,daveys-locker,2020-03-09,Western Pride,1/2 Day PM,36,"45 Rockfish, 39 Vermilion Rockfish, 38 Whitefish, 26 Bocaccio, 6 Sheephead, 2 Sargo, 1 Triggerfish, 1 Sculpin, 1 Sand Bass"
58,daveys-locker,2020-03-11,Freelance,3/4 Day,16,"80 Rockfish, 36 Vermilion Rockfish, 12 Whitefish"
59,daveys-locker,2020-03-11,Western Pride,1/2 Day PM,17,"58 Rockfish, 30 Blue Perch, 15 Vermilion Rockfish, 10 Bocaccio, 5 Whitefish, 4 Sheephead, 3 Calico Bass"
60,daveys-locker,2020-03-14,Freelance,3/4 Day,33,"87 Whitefish, 77 Rockfish, 70 Sanddab, 34 Bocaccio, 10 Vermilion Rockfish"
61,daveys-locker,2020-03-14,Western Pride,1/2 Day AM,40,"155 Rockfish, 62 Sculpin, 50 Sanddab, 10 Whitefish, 8 Vermilion Rockfish, 4 Bocaccio"
62,daveys-locker,2020-03-14,Western Pride,1/2 Day PM,21,"45 Vermilion Rockfish, 31 Bocaccio, 30 Rockfish, 1 Whitefish"
